,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
157,SOMA / south beach,Beautiful 1br Loft Style Apartment in SOMA ,3500.0,1.0,4012054934,-122.407859,SF,/sfc/apa/4012054934.html,37.782740999999994,700.0,Sep,17,2013,60750176015004,6075,San Francisco,5.0,4
161,richmond / seacliff,new clean sunlighted convenient,1680.0,1.0,4076415478,-122.508958,SF,/sfc/apa/4076415478.html,37.77330900000001,700.0,Sep,18,2013,60750479015007,6075,San Francisco,2.4,2
163,russian hill,4BR/4BA Luxury Townhome at Green Hill Views Apartments,11000.0,4.0,4062103493,-122.417456,SF,/sfc/apa/4062103493.html,37.798442,1969.0,Sep,18,2013,60750109001004,6075,San Francisco,5.58659217877095,4
164,russian hill,Gorgeous Top Floor Light-Filled Corner Luxury View 4BR/2.5BA,9950.0,4.0,4062109564,-122.417727,SF,/sfc/apa/4062109564.html,37.798408,1894.0,Sep,18,2013,60750109001004,6075,San Francisco,5.253431890179514,4
165,russian hill,"""All New"" Luxury 3BR/2BA, GG Views, Hardwood, Granite, Fireplace ",8250.0,3.0,4062113502,-122.41748999999999,SF,/sfc/apa/4062113502.html,37.798438,1140.0,Sep,18,2013,60750109001004,6075,San Francisco,7.2368421052631575,4
166,russian hill,"Stunning 5-6BR/4BA Green Hill Views Penthouse, Deck, 3 BR Suites, FDR",17250.0,6.0,4062119593,-122.41759099999999,SF,/sfc/apa/4062119593.html,37.798425,3451.0,Sep,18,2013,60750109001004,6075,San Francisco,4.998551144595769,4
167,russian hill,Glorious Luxurious Light Filled Green Hills Views Apartment ,9250.0,3.0,4062123803,-122.417693,SF,/sfc/apa/4062123803.html,37.798412,1540.0,Sep,18,2013,60750109001004,6075,San Francisco,6.0064935064935066,4
168,russian hill,Two Level 3BR/3.5BA Open Floor Plan At Green Hills Views,9100.0,3.0,4062128001,-122.41738799999999,SF,/sfc/apa/4062128001.html,37.798451,1567.0,Sep,18,2013,60750109001004,6075,San Francisco,5.807275047862157,4
173,sunset / parkside,Studio appartment availalbe 10/1,1500.0,,4046290962,-122.4836,SF,/sfc/apa/4046290962.html,37.7593,400.0,Sep,18,2013,60750326022007,6075,San Francisco,3.75,4
175,nob hill,Small Nob Hill studio for rent - Open 9/21 @ 3:30-4:00PM,1400.0,,4074212074,-122.416597,SF,/sfc/apa/4074212074.html,37.792049,336.0,Sep,17,2013,60750111001000,6075,San Francisco,4.166666666666667,4
179,laurel hts / presidio,Accessible Two-bedroom Apartment Home in the Presidio,2795.0,2.0,4074191172,-122.480911,SF,/sfc/apa/4074191172.html,37.790556,1010.0,Sep,17,2013,60750601001020,6075,San Francisco,2.767326732673267,3
183,noe valley,Beautiful Furn or Unfurn Home Near Shuttle Stops - ReLISTO,6500.0,3.0,4049141629,-122.43369799999999,SF,/sfc/apa/4049141629.html,37.746494,1300.0,Sep,17,2013,60750216001006,6075,San Francisco,5.0,4
192,inner sunset / UCSF,Spectacular Views of the Ocean from This 2 BR Apartment,3820.0,2.0,4075620273,-122.462864,SF,/sfc/apa/4075620273.html,37.75954,882.0,Sep,18,2013,60750301021008,6075,San Francisco,4.331065759637188,4
202,downtown / civic / van ness,Furnished Apartment downtown SF with Internet and utilities included,5200.0,2.0,4073788271,-122.398977,SF,/sfc/apa/4073788271.html,37.786209,950.0,Sep,17,2013,60750615001048,6075,San Francisco,5.473684210526316,4
203,SOMA / south beach,Gleaming New Stainless Kitchen Upgrades,4022.0,2.0,4073824779,-122.39666899999999,SF,/sfc/apa/4073824779.html,37.773167,1105.0,Sep,17,2013,60750607001036,6075,San Francisco,3.639819004524887,4
204,marina / cow hollow,2 Fantastic Furnished Flats in Cow Hollow!,4800.0,2.0,4073781311,-122.437592,SF,/sfc/apa/4073781311.html,37.799125,1000.0,Sep,17,2013,60750128001011,6075,San Francisco,4.8,4
208,SOMA / south beach,Marvelous Living Space with a Huge Walkin Closet,3520.0,1.0,4076703225,-122.39666899999999,SF,/sfc/apa/4076703225.html,37.773167,860.0,Sep,18,2013,60750607001036,6075,San Francisco,4.093023255813954,4
210,lower nob hill,Gorgeous studio in Theater District,2150.0,,4076681429,-122.411406,SF,/sfc/apa/4076681429.html,37.787301,370.0,Sep,18,2013,60750123022001,6075,San Francisco,5.8108108108108105,4
211,haight ashbury,BEAUTIFUL HOUSE IN SAN FRANCISCO,2950.0,1.0,4076663493,-122.446774,SF,/sfc/apa/4076663493.html,37.77731,900.0,Sep,18,2013,60750157004004,6075,San Francisco,3.2777777777777777,4
212,inner sunset / UCSF,"Location, Style and Comfort All That You Deserve! Call Now!",2875.0,1.0,4075612156,-122.470727,SF,/sfc/apa/4075612156.html,37.765739,644.0,Sep,18,2013,60750302011000,6075,San Francisco,4.464285714285714,4
215,laurel hts / presidio,"Live in the Park, near the Beach!",3335.0,3.0,4075714162,-122.47829899999999,SF,/sfc/apa/4075714162.html,37.791446,955.0,Sep,18,2013,60750601001020,6075,San Francisco,3.492146596858639,4
216,laurel hts / presidio,"Extra large apt with 2-bed 1-bath, can be a 3-bedroom, parking avail",4295.0,2.0,4050152973,-122.446017,SF,/sfc/apa/4050152973.html,37.789201,1200.0,Sep,18,2013,60750133002007,6075,San Francisco,3.5791666666666666,4
221,russian hill,Perfect Short Term Solution,4300.0,1.0,4062794256,-122.419936,SF,/sfc/apa/4062794256.html,37.795238,800.0,Sep,17,2013,60750110001005,6075,San Francisco,5.375,4
222,hayes valley,One Bed Condo In Hayes Valley! OPEN WED 5-6PM! ,3300.0,1.0,4048511901,-122.421668,SF,/sfc/apa/4048511901.html,37.774179,667.0,Sep,17,2013,60750168021006,6075,San Francisco,4.94752623688156,4
227,bernal heights,"2BR North Bernal House - Views,Parking",5000.0,2.0,4074612204,-122.41056499999999,SF,/sfc/apa/4074612204.html,37.746323,1100.0,Sep,17,2013,60750251001021,6075,San Francisco,4.545454545454546,4
228,russian hill,GG Bridge View Luxurious 3BR/3BA - Green Hills Views,8950.0,3.0,4062137732,-122.417524,SF,/sfc/apa/4062137732.html,37.798434,1577.0,Sep,18,2013,60750109001004,6075,San Francisco,5.675332910589727,4
229,mission district,Fresh Clean Bright Capp Street Top Floor ,5800.0,4.0,4070362738,-122.41813400000001,SF,/sfc/apa/4070362738.html,37.760464,1400.0,Sep,18,2013,60750208002001,6075,San Francisco,4.142857142857143,4
230,ingleside / SFSU / CCSF,"2 br / 1ba in-law with kitchen, views, separate entrance",1800.0,2.0,4076387395,-122.451155,SF,/sfc/apa/4076387395.html,37.716583,550.0,Sep,18,2013,60750314002003,6075,San Francisco,3.272727272727273,4
231,marina / cow hollow,TOP Floor Flat - Views!  2 Bedrooms,5600.0,2.0,4021628786,-122.44246799999999,SF,/sfc/apa/4021628786.html,37.798111999999996,1450.0,Sep,18,2013,60750128003000,6075,San Francisco,3.8620689655172415,4
232,SOMA / south beach,Live/Work 1BR/1BA Close to BART,2850.0,1.0,4076384827,-122.409709,SF,/sfc/apa/4076384827.html,37.780181,835.0,Sep,18,2013,60750176012003,6075,San Francisco,3.413173652694611,4
233,lower nob hill,Looking For a Spacious Studio Downtown? Geary Courtyard Has It!!,2250.0,,4076394647,-122.41388400000001,SF,/sfc/apa/4076394647.html,37.786538,460.0,Sep,18,2013,60750123021001,6075,San Francisco,4.891304347826087,4
234,mission district,Great Location/Place for rent,2299.0,1.0,4076367619,-122.420777,SF,/sfc/apa/4076367619.html,37.768226,406.0,Sep,18,2013,60750201002002,6075,San Francisco,5.66256157635468,4
235,SOMA / south beach,Stainless Steel Appliances and IN UNIT Washer/Dryer!  Lease NOW!,2466.0,,4076281834,-122.41718200000001,SF,/sfc/apa/4076281834.html,37.776286999999996,476.0,Sep,18,2013,60750176014002,6075,San Francisco,5.180672268907563,4
237,marina / cow hollow,"Dramatic, contemporary Marina 2-story residence",10800.0,4.0,4076337018,-122.441534,SF,/sfc/apa/4076337018.html,37.801931,3000.0,Sep,18,2013,60750126011005,6075,San Francisco,3.6,4
238,SOMA / south beach,INFINITY | 1 BR + Den <> Skybox Realty,3850.0,1.0,4075287762,-122.39068799999998,SF,/sfc/apa/4075287762.html,37.789844,3850.0,Sep,18,2013,60750615003006,6075,San Francisco,1.0,0
241,SOMA / south beach,MILLENNIUM TOWER | Luxury 2 BR <> Skybox Realty,7250.0,2.0,4075291706,-122.39581299999999,SF,/sfc/apa/4075291706.html,37.791153,1479.0,Sep,18,2013,60750615001009,6075,San Francisco,4.901960784313726,4
244,russian hill,Luxury Living on Lombard!  ,5700.0,2.0,4075276071,-122.41796599999999,SF,/sfc/apa/4075276071.html,37.802201000000004,1250.0,Sep,18,2013,60750103001006,6075,San Francisco,4.56,4
245,bernal heights,1ba: 1BR Garden Level Contemporary Condo Flat In 2-Unit Vic. *Oct 20*,2600.0,1.0,4075298774,-122.418201,SF,/sfc/apa/4075298774.html,37.744912,600.0,Sep,18,2013,60750253001002,6075,San Francisco,4.333333333333333,4
247,SOMA / south beach,Modern High-Tech 24th Floor Metropolitan Condo Furn. 6-Mo Min -ReLISTO,4395.0,1.0,4063519571,-122.39357199999999,SF,/sfc/apa/4063519571.html,37.786573,775.0,Sep,17,2013,60750615002015,6075,San Francisco,5.670967741935484,4
248,SOMA / south beach,Modern High-Tech 24th Floor Metropolitan Condo Furn. 6-Mo Min -ReLISTO,4395.0,1.0,4063518541,-122.39357199999999,SF,/sfc/apa/4063518541.html,37.786573,775.0,Sep,17,2013,60750615002015,6075,San Francisco,5.670967741935484,4
250,west portal / forest hill,ELEGANT & SPACIOUS 2-STORY DETACHED HOUSE,4750.0,3.0,4065911140,-122.478351,SF,/sfc/apa/4065911140.html,37.732588,2300.0,Sep,17,2013,60750331001008,6075,San Francisco,2.0652173913043477,1
252,sunset / parkside,Next to the Lake and Golf Course; Resort Style Living; Parking! ,2909.0,2.0,4034464388,-122.49899599999999,SF,/sfc/apa/4034464388.html,37.712191,1015.0,Sep,17,2013,60750604001013,6075,San Francisco,2.8660098522167488,3
255,inner sunset / UCSF,Magnificent 1x1Available Immediately with NO DEPOSIT! ,2950.0,1.0,4075991146,-122.462864,SF,/sfc/apa/4075991146.html,37.75954,767.0,Sep,18,2013,60750301021008,6075,San Francisco,3.8461538461538463,4
257,western addition,"Gorgeous Apartments, Breathtaking Views! Fillmore Center..",3699.0,2.0,4076040379,-122.432681,SF,/sfc/apa/4076040379.html,37.78317,932.0,Sep,18,2013,60750159002006,6075,San Francisco,3.968884120171674,4
258,western addition,3 Bedroom Townhouse with Washer/Dryer & Large Closet. Avail. 10/10/13,5120.0,3.0,4076027156,-122.432681,SF,/sfc/apa/4076027156.html,37.78317,1150.0,Sep,18,2013,60750159002006,6075,San Francisco,4.452173913043478,4
261,bayview,Updated Townhouse For Lease,2700.0,2.0,4076018369,-122.41942,SF,/sfc/apa/4076018369.html,37.77493,1150.0,Sep,18,2013,60750201001001,6075,San Francisco,2.347826086956522,2
262,north beach / telegraph hill,Xtra Lrg. renovated studio! Big kitchen ready for immediate move-in,2350.0,,4075598045,-122.41033,SF,/sfc/apa/4075598045.html,37.806123,500.0,Sep,18,2013,60750101001019,6075,San Francisco,4.7,4
267,marina / cow hollow,FULLY RENOVATED Jr. 1-BEDROOM ON UNION ST.,2300.0,1.0,4075582007,-122.435961,SF,/sfc/apa/4075582007.html,37.797028999999995,468.0,Sep,18,2013,60750130004001,6075,San Francisco,4.914529914529915,4
274,downtown / civic / van ness,NEMA - Brand New Studio Apartments - Now Leasing!,2606.0,,4073720370,-122.41718200000001,SF,/sfc/apa/4073720370.html,37.776286999999996,476.0,Sep,17,2013,60750176014002,6075,San Francisco,5.474789915966387,4
279,SOMA / south beach,"BRAND NEW, LUXURY CONDO, beautiful hardwood flrs, great SOMA location!",5700.0,3.0,4038165945,-122.405615,SF,/sfc/apa/4038165945.html,37.778504999999996,1300.0,Sep,18,2013,60750178021007,6075,San Francisco,4.384615384615385,4
298,Lower Pacific Heights,Affordable 1 bedroom 2 blocks from Fillmore St,2250.0,1.0,4076355464,-122.436324,SF,/sfc/apa/4076355464.html,37.78859,650.0,Sep,18,2013,60750153001000,6075,San Francisco,3.4615384615384617,4
299,pacific heights,1 Bedroom w/ Bonus Room (or 2nd Bedroom) **Laundy On-Site**,3200.0,1.0,4076336608,-122.424172,SF,/sfc/apa/4076336608.html,37.79476,1000.0,Sep,18,2013,60750131011003,6075,San Francisco,3.2,3
303,SOMA / south beach,INFINITY | Modern 2 BR <> Skybox Realty,4000.0,2.0,4031668283,-122.391195,SF,/sfc/apa/4031668283.html,37.788838,845.0,Sep,18,2013,60750615003008,6075,San Francisco,4.733727810650888,4
304,SOMA / south beach,INFINITY | 1 BR + Den <> Skybox Realty,3600.0,1.0,4060404967,-122.391195,SF,/sfc/apa/4060404967.html,37.788838,840.0,Sep,18,2013,60750615003008,6075,San Francisco,4.285714285714286,4
305,potrero hill,Potrero Hill 2 bed 2 bath,3995.0,2.0,4039439586,-122.40208,SF,/sfc/apa/4039439586.html,37.759675,1200.0,Sep,18,2013,60750227042004,6075,San Francisco,3.3291666666666666,4
306,SOMA / south beach,One Rincon Hill | Furnished 2 BR + Den Bridge View <> Skybox Realty,11000.0,3.0,4060409577,-122.41942,SF,/sfc/apa/4060409577.html,37.77493,1449.0,Sep,18,2013,60750201001001,6075,San Francisco,7.59144237405107,4
