,saletype,solddate,proptype,address,city,state,zip,price,beds,baths,location,sqft,lotsize,yrbuilt,daysonmkt,pricesqft,hoamonth,status,nextopenstart,nextopenend,url,source,mls,favorite,interested,latitude,longitude,county,fips_code
233,PAST SALE,March-1-2017,Multi-Family (5+ Unit),3001-3003 25th St,San Francisco,CA,94110.0,1745000.0,4.0,,Inner Mission,2790.0,2996.0,1900.0,4.0,625.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/3003-25th-St-94110/home/736857,San Francisco MLS,451416,N,Y,37.7510456,-122.4101015,San Francisco,060750229022001
234,PAST SALE,March-1-2017,Single Family Residential,2471 35th Ave,San Francisco,CA,94116.0,1470000.0,4.0,2.5,Parkside,1885.0,3000.0,1923.0,4.0,780.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/2471-35th-Ave-94116/home/1081861,San Francisco MLS,453833,N,Y,37.740972,-122.493073,San Francisco,060750330005007
235,PAST SALE,February-9-2017,Single Family Residential,26 Eastwood Dr,San Francisco,CA,94112.0,2000026.0,4.0,4.0,Westwood Park,,3550.0,1923.0,24.0,,7.0,Sold,,,http://www.redfin.com/CA/San-Francisco/26-Eastwood-Dr-94112/home/1446737,San Francisco MLS,454468,N,Y,37.725747999999996,-122.457421,San Francisco,060750310002025
236,PAST SALE,February-8-2017,Condo/Co-op,1036 Potrero Ave #6,San Francisco,CA,94110.0,870000.0,2.0,2.0,Inner Mission,936.0,,1987.0,25.0,929.0,250.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1036-Potrero-Ave-94110/unit-6/home/1221702,San Francisco MLS,452081,N,Y,37.755457,-122.40690479999999,San Francisco,060750228022013
237,PAST SALE,February-13-2017,Condo/Co-op,441 Linden St,San Francisco,CA,94102.0,2150000.0,3.0,3.0,Hayes Valley,1731.0,,2016.0,20.0,1242.0,535.0,Sold,,,http://www.redfin.com/CA/San-Francisco/441-Linden-St-94102/home/109495649,San Francisco MLS,452294,N,Y,37.7760429,-122.42524089999999,San Francisco,060750162003005
238,PAST SALE,February-14-2017,Condo/Co-op,401 Harrison St Unit 7A,San Francisco,CA,94105.0,1211528.0,2.0,2.0,South Beach,1404.0,,,19.0,863.0,1289.0,Sold,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-7A/home/110032493,San Francisco MLS,452666,N,Y,37.7863987,-122.3920534,San Francisco,060750615004014
239,PAST SALE,March-3-2017,Condo/Co-op,1221 Harrison St #17,San Francisco,CA,94103.0,850000.0,1.0,2.0,South of Market,1209.0,,2004.0,2.0,703.0,529.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1221-Harrison-St-94103/unit-17/home/22892744,San Francisco MLS,450460,N,Y,37.7731279,-122.4087672,San Francisco,060750180002032
240,PAST SALE,February-3-2017,Townhouse,550 Davis St #13,San Francisco,CA,94111.0,2950000.0,3.0,3.0,Financial District,2251.0,,1981.0,30.0,1311.0,1340.0,Sold,,,http://www.redfin.com/CA/San-Francisco/550-Davis-St-94111/unit-13/home/2020710,San Francisco MLS,452642,N,Y,37.7974207,-122.39816440000001,San Francisco,060750105002007
241,PAST SALE,February-6-2017,Condo/Co-op,1688 Pine St Unit EPH04,San Francisco,CA,94109.0,969000.0,1.0,1.0,Van Ness/Civic Center,616.0,,2016.0,27.0,1573.0,635.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-EPH04/home/108189044,San Francisco MLS,453137,N,Y,37.789258000000004,-122.4235605,San Francisco,060750151001000
242,PAST SALE,February-22-2017,Condo/Co-op,338 Potrero Ave #305,San Francisco,CA,94103.0,762000.0,1.0,1.0,Inner Mission,,,2016.0,11.0,,572.0,Sold,,,http://www.redfin.com/CA/San-Francisco/338-Potrero-Ave-94103/unit-305/home/109470095,San Francisco MLS,452114,N,Y,37.765235,-122.40754009999998,San Francisco,060750177001050
243,PAST SALE,February-8-2017,Single Family Residential,240 Holyoke St,San Francisco,CA,94134.0,887750.0,3.0,2.0,Portola,1000.0,2996.0,1928.0,25.0,888.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/240-Holyoke-St-94134/home/1720529,San Francisco MLS,452948,N,Y,37.728133,-122.4095176,San Francisco,060750257023002
244,PAST SALE,February-13-2017,Condo/Co-op,1870 Jackson St #203,San Francisco,CA,94109.0,1825000.0,3.0,3.0,Pacific Heights,1800.0,,1931.0,20.0,1014.0,1033.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1870-Jackson-St-94109/unit-203/home/1357832,San Francisco MLS,451904,N,Y,37.7938453,-122.4258578,San Francisco,060750131011005
245,PAST SALE,February-13-2017,Single Family Residential,132 Douglass St,San Francisco,CA,94114.0,1954000.0,3.0,2.5,Corona Heights,2087.0,1700.0,1904.0,20.0,936.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/132-Douglass-St-94114/home/2024357,San Francisco MLS,454630,N,Y,37.7616006,-122.4395992,San Francisco,060750204013000
246,PAST SALE,February-3-2017,Single Family Residential,60 Mercury St,San Francisco,CA,94124.0,832000.0,2.0,1.0,Silver Terrace,1275.0,2121.0,1941.0,30.0,653.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/60-Mercury-St-94124/home/751365,San Francisco MLS,452945,N,Y,37.731713,-122.4017121,San Francisco,060750230013001
247,PAST SALE,February-10-2017,Single Family Residential,1969 San Jose Ave,San Francisco,CA,94112.0,760000.0,3.0,2.0,Mission Terrace,1433.0,2522.0,1919.0,23.0,530.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1969-San-Jose-Ave-94112/home/1003684,San Francisco MLS,446605,N,Y,37.725425,-122.442295,San Francisco,060750255005008
248,PAST SALE,February-28-2017,Townhouse,263 Summit Way,San Francisco,CA,94132.0,1338941.0,3.0,2.5,Stonestown,1850.0,,2016.0,5.0,724.0,202.0,Sold,,,http://www.redfin.com/CA/San-Francisco/263-Summit-Way-94132/home/103971608,San Francisco MLS,442593,N,Y,37.714897,-122.47723130000001,San Francisco,060750332031010
249,PAST SALE,February-10-2017,Multi-Family (2-4 Unit),1641-45 Grove St,San Francisco,CA,94117.0,1640000.0,8.0,3.0,North Panhandle,3407.0,3436.0,1922.0,23.0,481.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1645-Grove-St-94117/home/2026702,San Francisco MLS,437817,N,Y,37.774992700000006,-122.4436763,San Francisco,060750165001002
250,PAST SALE,February-10-2017,Multi-Family (2-4 Unit),1641 Grove St,San Francisco,CA,94117.0,1640000.0,8.0,3.0,San Francisco,3407.0,3436.0,1922.0,23.0,481.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1641-Grove-St-94117/home/101338642,EBRD/CCAR/Bay East,40744426,N,Y,37.775199900000004,-122.44364409999999,San Francisco,060750165001002
251,PAST SALE,February-8-2017,Multi-Family (2-4 Unit),149 29th St,San Francisco,CA,94110.0,4975000.0,,,Noe Valley,,2736.0,2016.0,25.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/149-29th-St-94110/home/39864030,San Francisco MLS,445414,N,Y,37.743651,-122.423425,San Francisco,060750215003000
252,PAST SALE,February-23-2017,Single Family Residential,30 Niantic Ave,San Francisco,CA,94132.0,775000.0,2.0,2.0,Ingleside Heights,,2513.0,1908.0,10.0,,,Sold,,,http://www.redfin.com/CA/San-Francisco/30-Niantic-Ave-94132/home/835074,San Francisco MLS,441092,N,Y,37.709453100000005,-122.4682631,San Francisco,060750313023017
253,PAST SALE,February-15-2017,Single Family Residential,93 Pope St,San Francisco,CA,94112.0,1050000.0,5.0,3.0,Crocker Amazon,1650.0,3456.0,1974.0,18.0,636.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/93-Pope-St-94112/home/1815560,San Francisco MLS,453276,N,Y,37.714076,-122.440591,San Francisco,060750263012014
254,PAST SALE,February-24-2017,Condo/Co-op,415 De Haro St #406,San Francisco,CA,94107.0,1635000.0,2.0,2.5,Potrero Hill,1274.0,,2014.0,9.0,1283.0,501.0,Sold,,,http://www.redfin.com/CA/San-Francisco/415-De-Haro-St-94107/unit-406/home/55533089,San Francisco MLS,451137,N,Y,37.7645926,-122.40131070000001,San Francisco,060750227041001
255,PAST SALE,February-24-2017,Single Family Residential,447 Buena Vista Ave,San Francisco,CA,94117.0,2000000.0,2.0,2.5,Buena Vista Park,2160.0,3249.0,1908.0,9.0,926.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/447-Buena-Vista-Ave-E-94117/home/1718448,San Francisco MLS,453031,N,Y,37.765957,-122.44142,San Francisco,060750170002000
256,PAST SALE,February-9-2017,Multi-Family (5+ Unit),1251 Hyde St,San Francisco,CA,94109.0,2800000.0,12.0,,Nob Hill,4995.0,2935.0,1911.0,24.0,561.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1251-Hyde-St-94109/home/1908843,San Francisco MLS,453069,N,Y,37.7924875,-122.41798680000001,San Francisco,060750111001001
257,PAST SALE,February-8-2017,Condo/Co-op,555 4th St #613,San Francisco,CA,94107.0,1175000.0,2.0,2.0,South Beach,,,2006.0,25.0,,620.0,Sold,,,http://www.redfin.com/CA/San-Francisco/555-4th-St-94107/unit-613/home/22887864,San Francisco MLS,450702,N,Y,37.779089,-122.39714040000001,San Francisco,060750180001008
258,PAST SALE,March-2-2017,Single Family Residential,4209 Ulloa St,San Francisco,CA,94116.0,925000.0,3.0,2.0,Outer Parkside,800.0,2495.0,1943.0,3.0,1156.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/4209-Ulloa-St-94116/home/1749950,San Francisco MLS,453287,N,Y,37.7398658,-122.5015344,San Francisco,060750354004006
259,PAST SALE,February-3-2017,Condo/Co-op,1688 Pine St Unit E1010,San Francisco,CA,94109.0,799000.0,1.0,1.0,Van Ness/Civic Center,616.0,,2016.0,30.0,1297.0,610.0,Sold,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E1010/home/107561198,San Francisco MLS,451266,N,Y,37.789258000000004,-122.4235605,San Francisco,060750151001000
260,PAST SALE,February-10-2017,Condo/Co-op,93 Cumberland St,San Francisco,CA,94110.0,6100000.0,4.0,3.5,Mission Dolores,5075.0,,1916.0,23.0,1202.0,1090.0,Sold,,,http://www.redfin.com/CA/San-Francisco/93-Cumberland-St-94110/home/109309666,San Francisco MLS,451774,N,Y,37.759050099999996,-122.4254918,San Francisco,060750207002004
261,PAST SALE,February-11-2017,Single Family Residential,871 Dolores St,San Francisco,CA,94110.0,4400000.0,5.0,4.5,Eureka Valley/Dolore,4675.0,3550.0,2016.0,22.0,941.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/871-Dolores-St-94110/unit-871/home/1184150,San Francisco MLS,450625,N,Y,37.7555971,-122.42513819999999,San Francisco,060750207003005
262,PAST SALE,March-1-2017,Multi-Family (5+ Unit),201-207 Divisadero St,San Francisco,CA,94115.0,2825000.0,8.0,,Haight Ashbury,6480.0,3998.0,1921.0,4.0,436.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Divisadero-St-94117/unit-207/home/600283,San Francisco MLS,449399,N,Y,37.7703418,-122.43694409999999,San Francisco,060750167003002
263,PAST SALE,February-21-2017,Condo/Co-op,751 18th Ave,San Francisco,CA,94121.0,1360000.0,2.0,1.5,Central Richmond,1512.0,,1923.0,12.0,899.0,175.0,Sold,,,http://www.redfin.com/CA/San-Francisco/751-18th-Ave-94121/home/40142504,San Francisco MLS,454021,N,Y,37.7738198,-122.47701599999999,San Francisco,060750476004005
264,PAST SALE,February-28-2017,Single Family Residential,371 Victoria St,San Francisco,CA,94132.0,750000.0,2.0,1.0,Ingleside Heights,1050.0,2500.0,1941.0,5.0,714.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/371-Victoria-St-94132/home/1142696,San Francisco MLS,447302,N,Y,37.7174077,-122.4655781,San Francisco,060750313021003
265,PAST SALE,March-3-2017,Single Family Residential,112 Garrison Ave,San Francisco,CA,94134.0,770000.0,4.0,2.5,Visitacion Valley,1719.0,1425.0,1963.0,2.0,448.0,154.0,Sold,,,http://www.redfin.com/CA/San-Francisco/112-Garrison-Ave-94134/home/2019837,San Francisco MLS,446699,N,Y,37.7094973,-122.4135469,San Francisco,060750264042002
266,PAST SALE,February-22-2017,Single Family Residential,45 Shore View Ave,San Francisco,CA,94121.0,2800000.0,6.0,5.0,Outer Richmond,5240.0,4046.0,1923.0,11.0,534.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/45-Shore-View-Ave-94121/home/1888732,San Francisco MLS,450237,N,Y,37.78027,-122.49746299999998,San Francisco,060750478021006
267,PAST SALE,February-8-2017,Condo/Co-op,3249 17th St #2,San Francisco,CA,94110.0,1260000.0,2.0,2.0,Inner Mission,1224.0,,2016.0,25.0,1029.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/3249-17th-St-94110/unit-2/home/111291751,San Francisco MLS,452848,N,Y,37.763350200000005,-122.4182818,San Francisco,060750208001000
