SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-2-2017,Condo/Co-op,870 North Point St #202,San Francisco,CA,94109,2118000,3,2.0,Russian Hill,1511,,1995,3,1402,754,Sold,,,http://www.redfin.com/CA/San-Francisco/870-N-Point-St-94109/unit-202/home/1152639,San Francisco MLS,453757,N,Y,37.8058155,-122.4215375
PAST SALE,February-21-2017,Condo/Co-op,1792 Green St,San Francisco,CA,94123,1150000,2,1.0,Pacific Heights,1012,,1922,12,1136,375,Sold,,,http://www.redfin.com/CA/San-Francisco/1792-Green-St-94123/home/17305244,San Francisco MLS,454992,N,Y,37.7971974,-122.4285275
PAST SALE,February-8-2017,Condo/Co-op,2225 23rd St #118,San Francisco,CA,94107,615000,1,1.0,Potrero Hill,602,,1989,25,1022,471,Sold,,,http://www.redfin.com/CA/San-Francisco/2225-23rd-St-94107/unit-118/home/735718,San Francisco MLS,453112,N,Y,37.7543745,-122.4021556
PAST SALE,February-6-2017,Condo/Co-op,1169 Dolores St,San Francisco,CA,94110,1550000,3,2.0,Noe Valley,,,,27,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1169-Dolores-St-94110/home/12277328,San Francisco MLS,454374,N,Y,37.750752,-122.424622
PAST SALE,February-21-2017,Single Family Residential,506 Banks St,San Francisco,CA,94110,820000,2,1.0,Bernal Heights,1000,1751,1925,12,820,,Sold,,,http://www.redfin.com/CA/San-Francisco/506-Banks-St-94110/home/1362522,San Francisco MLS,454960,N,Y,37.7368549,-122.4130757
PAST SALE,March-2-2017,Condo/Co-op,564 Shotwell St,San Francisco,CA,94110,1530000,3,2.0,Inner Mission,1569,,1928,3,975,400,Sold,,,http://www.redfin.com/CA/San-Francisco/564-Shotwell-St-94110/home/852565,San Francisco MLS,454010,N,Y,37.7594596,-122.4160363
PAST SALE,February-10-2017,Condo/Co-op,201 Harrison St #909,San Francisco,CA,94105,725000,1,1.0,South Beach,661,,1991,23,1097,632,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-909/home/724650,San Francisco MLS,453818,N,Y,37.7876582,-122.3905155
PAST SALE,February-10-2017,Single Family Residential,1311 Buchanan St,San Francisco,CA,94115,1200000,3,2.0,Western Addition,,,2007,23,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1311-Buchanan-St-94115/home/17306819,San Francisco MLS,453463,N,Y,37.7822938,-122.4292929
PAST SALE,March-3-2017,Condo/Co-op,439 Arkansas St,San Francisco,CA,94107,2340000,3,2.0,Potrero Hill,2307,,1980,2,1014,275,Sold,,,http://www.redfin.com/CA/San-Francisco/439-Arkansas-St-94107/home/21666627,San Francisco MLS,454056,N,Y,37.7607228,-122.3980419
PAST SALE,February-10-2017,Single Family Residential,26 St Marys Ave,San Francisco,CA,94112,1155000,2,1.0,Bernal Heights,,2045,1904,23,,,Sold,,,http://www.redfin.com/CA/San-Francisco/26-Saint-Marys-Ave-94112/home/917006,San Francisco MLS,453734,N,Y,37.734342,-122.4265
