,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,county_x,tractfips,logrecno,fipsblock,state,county_y,tract,blkgrp,block,arealand,P0010001,H00010001,outlier,view,walk
84,downtown / civic / van ness,Studio w/ Sleeping Loft Downtown! #104,1675.0,0.0,4075739945,-122.41282700000001,SF,/sfc/apa/4075739945.html,37.785087,,Sep,18,2013,060750123011005,06075,San Francisco,06075012301,587092,060750123011005,06,075,012301,1,1005,15204,1142,676,False,0,0
85,tenderloin,Nice 1 Bedroom $1495,1495.0,0.0,4061873495,-122.412801,SF,/sfc/apa/4061873495.html,37.785538,,Sep,18,2013,060750123011005,06075,San Francisco,06075012301,587092,060750123011005,06,075,012301,1,1005,15204,1142,676,False,0,0
86,downtown / civic / van ness,Top Floor Studio Apartment! #604,1725.0,0.0,4075861147,-122.41282700000001,SF,/sfc/apa/4075861147.html,37.785087,,Sep,18,2013,060750123011005,06075,San Francisco,06075012301,587092,060750123011005,06,075,012301,1,1005,15204,1142,676,False,0,0
87,Candlestick Point,Bright Spacious Condo w/ 2 Deeded Parking,2395.0,2.0,4046069088,-122.389669,SF,/sfc/apa/4046069088.html,37.711104999999996,1337.0,Sep,18,2013,060750610001004,06075,San Francisco,06075061000,593994,060750610001004,06,075,061000,1,1004,396936,958,550,False,0,0
88,downtown / civic / van ness,HURRY..FOX PLAZA SPECIAL~1/2 DEPOSIT~GORGEOUS SF VIEWS!!!!,1999.0,0.0,4075853919,-122.417402,SF,/sfc/apa/4075853919.html,37.776619000000004,,Sep,18,2013,060750176014000,06075,San Francisco,06075017601,588291,060750176014000,06,075,017601,4,4000,1323,0,0,False,1,0
89,downtown / civic / van ness,You Get What You Pay For!!!,2370.0,0.0,4075809397,-122.417402,SF,/sfc/apa/4075809397.html,37.776619000000004,,Sep,18,2013,060750176014000,06075,San Francisco,06075017601,588291,060750176014000,06,075,017601,4,4000,1323,0,0,False,0,0
90,downtown / civic / van ness,STUNNING 22ND FL STUDIO~$250 DEPOSIT SPECIAL OAC!!!,2370.0,0.0,4075986100,-122.417402,SF,/sfc/apa/4075986100.html,37.776619000000004,,Sep,18,2013,060750176014000,06075,San Francisco,06075017601,588291,060750176014000,06,075,017601,4,4000,1323,0,0,False,0,0
91,downtown / civic / van ness,Just Do It Already!!!,1999.0,0.0,4075716854,-122.417402,SF,/sfc/apa/4075716854.html,37.776619000000004,,Sep,18,2013,060750176014000,06075,San Francisco,06075017601,588291,060750176014000,06,075,017601,4,4000,1323,0,0,False,0,0
92,lower nob hill,I WANT THIS APARTMENT!!BRAND NEW RENOVATION!!Trendy neighborhood,2195.0,0.0,4075750309,-122.413425,SF,/sfc/apa/4075750309.html,37.788018,,Sep,18,2013,060750121001002,06075,San Francisco,06075012100,587050,060750121001002,06,075,012100,1,1002,15385,838,445,False,0,0
93,lower nob hill,Beautifully Remodeled Studio w/ Granite Counters & Hardwood!,1995.0,0.0,4076449249,-122.41499499999999,SF,/sfc/apa/4076449249.html,37.787454,,Sep,18,2013,060750121001002,06075,San Francisco,06075012100,587050,060750121001002,06,075,012100,1,1002,15385,838,445,False,0,0
94,lower nob hill,SUNNY STUDIO AVAILABLE! CALL TO MAKE AN APPOINTMENT!,1895.0,0.0,4036512317,-122.414548,SF,/sfc/apa/4036512317.html,37.788469,,Sep,17,2013,060750121001002,06075,San Francisco,06075012100,587050,060750121001002,06,075,012100,1,1002,15385,838,445,False,0,0
95,lower nob hill,BEAUTIFUL RENOVATED STUDIO! CALL TODAY!,2195.0,0.0,4044470311,-122.413425,SF,/sfc/apa/4044470311.html,37.788018,,Sep,17,2013,060750121001002,06075,San Francisco,06075012100,587050,060750121001002,06,075,012100,1,1002,15385,838,445,False,0,0
96,downtown / civic / van ness,Pet friendly Studio! ~ J.Wavro,1995.0,0.0,4075305863,-122.41499499999999,SF,/sfc/apa/4075305863.html,37.787454,,Sep,18,2013,060750121001002,06075,San Francisco,06075012100,587050,060750121001002,06,075,012100,1,1002,15385,838,445,False,0,0
97,lower nob hill,SPACIOUS studio in great neighborhood!!Quiet & walkable to ALL DT-POLK,1895.0,0.0,4075772010,-122.414548,SF,/sfc/apa/4075772010.html,37.788469,,Sep,18,2013,060750121001002,06075,San Francisco,06075012100,587050,060750121001002,06,075,012100,1,1002,15385,838,445,False,0,1
98,nob hill,3 BR Charming Spacious Nob Hill Apartment,6900.0,3.0,4026383635,-122.446974,SF,/sfc/apa/4026383635.html,37.788185999999996,,Sep,18,2013,060750133002006,06075,San Francisco,06075013300,587494,060750133002006,06,075,013300,2,2006,14904,162,103,False,0,0
99,nob hill,$6900/ 3br - Charming Nob Hill Apartment,6900.0,3.0,4049916410,-122.446974,SF,/sfc/apa/4049916410.html,37.788185999999996,,Sep,18,2013,060750133002006,06075,San Francisco,06075013300,587494,060750133002006,06,075,013300,2,2006,14904,162,103,False,0,0
100,lower pac hts,8th Floor Corner 2/2 Open Bright Spacious Floorplan Priv. Balcony Pets,3900.0,2.0,4075813472,-122.424858,SF,/sfc/apa/4075813472.html,37.786196000000004,1200.0,Sep,18,2013,060750155001000,06075,San Francisco,06075015500,587685,060750155001000,06,075,015500,1,1000,30726,757,565,False,0,0
101,lower pac hts,Large & Bright 1 BD Priv Balcony Central Location Pets OK,2750.0,1.0,4073622133,-122.424858,SF,/sfc/apa/4073622133.html,37.786196000000004,703.0,Sep,17,2013,060750155001000,06075,San Francisco,06075015500,587685,060750155001000,06,075,015500,1,1000,30726,757,565,False,0,0
102,lower pac hts,10th Flr Bright Corner Unit 2/2 1198 sq ft priv. balcony Views Pets ,4125.0,2.0,4073578370,-122.424858,SF,/sfc/apa/4073578370.html,37.786196000000004,1198.0,Sep,17,2013,060750155001000,06075,San Francisco,06075015500,587685,060750155001000,06,075,015500,1,1000,30726,757,565,False,1,0
103,laurel hts / presidio,ADA Accessible 2 Bedroom Home Available for Move In,2850.0,2.0,4075839829,-122.48113300000001,SF,/sfc/apa/4075839829.html,37.790471999999994,1010.0,Sep,18,2013,060750601001020,06075,San Francisco,06075060100,593650,060750601001020,06,075,060100,1,1020,494187,703,270,False,0,0
104,laurel hts / presidio,Accessible Two-bedroom Apartment Home in the Presidio,2795.0,2.0,4074191172,-122.480911,SF,/sfc/apa/4074191172.html,37.790556,1010.0,Sep,17,2013,060750601001020,06075,San Francisco,06075060100,593650,060750601001020,06,075,060100,1,1020,494187,703,270,False,0,0
105,laurel hts / presidio,"Live in the Park, near the Beach!",3335.0,3.0,4075714162,-122.47829899999999,SF,/sfc/apa/4075714162.html,37.791446,955.0,Sep,18,2013,060750601001020,06075,San Francisco,06075060100,593650,060750601001020,06,075,060100,1,1020,494187,703,270,False,0,0
106,russian hill," RUSSIAN HILL LUXURY CONDO! 3 BED 3 BATH! PKG! DAWN CUSULOS, AMSI",7950.0,3.0,4067923709,-122.413074,SF,/sfc/apa/4067923709.html,37.797125,,Sep,18,2013,060750108002002,06075,San Francisco,06075010800,586797,060750108002002,06,075,010800,2,2002,935,18,14,False,0,0
107,downtown / civic / van ness,Rent NOW! Stainless Steel and In Unit Washer/Dryer!  Brand NEW! NEMA,2506.0,0.0,4075650703,-122.41718200000001,SF,/sfc/apa/4075650703.html,37.776286999999996,476.0,Sep,18,2013,060750176014002,06075,San Francisco,06075017601,588293,060750176014002,06,075,017601,4,4002,19732,0,0,False,0,0
